,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
996,P.S. 161 The Crown,"$26,588",301,"$310,357",90%
997,P.S. 162 John Golden,"$20,849",620,"$637,570",90%
998,P.S. 163 Alfred E. Smith,"$23,779",520,"$509,141",91%
999,P.S. 163 Arthur A. Schomburg,"$24,082",471,"$542,104",90%
1000,P.S. 163 Bath Beach,"$23,640",592,"$476,302",93%
1001,P.S. 163 Flushing Heights,"$20,648",711,"$594,540",92%
1002,P.S. 164 Caesar Rodney,"$22,640",701,"$741,781",90%
1003,P.S. 164 Queens Valley,"$22,059",654,"$366,293",95%
1004,P.S. 165 Edith K. Bergtraum,"$30,293",691,"$699,589",90%
1005,P.S. 165 Ida Posner,"$32,173",179,$0,100%
1006,P.S. 165 Robert E. Simon,"$25,503",383,"$399,295",90%
1007,P.S. 166 Henry Gradstein,"$20,061",960,"$938,534",90%
1008,P.S. 166 The Richard Rodgers School of the Arts and Technology,"$18,384",647,"$574,931",90%
1009,P.S. 168,"$68,217",550,N/A,
1010,P.S. 169 Bay Terrace,"$23,019",409,$0,116%
1011,P.S. 169 Sunset Park,"$23,508",1388,"$1,668,155",90%
1012,P.S. 170,"$24,882",250,"$272,587",90%
1013,P.S. 171 Patrick Henry,"$21,059",700,"$722,993",90%
1014,P.S. 171 Peter G. Van Alst,"$24,008",438,"$477,892",90%
1015,P.S. 172 Beacon School of Excellence,"$25,184",557,"$732,604",90%
1016,P.S. 173,"$25,626",384,"$392,903",90%
1017,P.S. 173 Fresh Meadows,"$19,394",890,"$750,449",91%
1018,P.S. 174 William Sidney Mount,"$20,343",633,"$526,367",91%
1019,P.S. 175 City Island,"$22,386",334,$0,116%
1020,P.S. 175 Henry H Garnet,"$24,172",336,"$348,881",90%
1021,P.S. 175 The Lynn Gross Discovery School,"$19,538",774,"$747,792",90%
1022,P.S. 176 Cambria Heights,"$19,190",669,"$609,588",90%
1023,P.S. 176 Ovington,"$20,386",1272,"$1,340,641",90%
1024,P.S. 177 The Marlboro,"$22,555",956,"$986,711",91%
1025,P.S. 178 - Dr. Selman Waksman,"$29,286",384,$0,108%
1026,P.S. 178 Saint Clair McKelway,"$25,793",276,"$309,390",90%
1027,P.S. 179,"$26,584",298,"$330,117",90%
1028,P.S. 179 Kensington,"$24,076",819,"$927,491",90%
1029,P.S. 180 Hugo Newman,"$23,983",416,$0,100%
1030,P.S. 181 Brookfield,"$27,775",301,"$313,433",90%
1031,P.S. 181 Brooklyn,"$26,023",581,"$669,549",90%
1032,P.S. 182,"$22,608",698,"$728,259",90%
1033,P.S. 182 Samantha Smith,"$25,221",699,"$787,257",90%
1034,P.S. 183 Dr. Richard R. Green,"$28,839",499,"$611,747",90%
1035,P.S. 183 Robert L. Stevenson,"$20,839",549,"$507,741",90%
1036,P.S. 184 Flushing Manor,"$21,526",475,"$161,636",97%
1037,P.S. 184 Newport,"$25,381",522,"$590,289",90%
1038,P.S. 184M Shuang Wen,"$20,902",680,"$742,212",90%
1039,P.S. 185 - The Early Childhood Discovery and Design Magnet School,"$26,697",288,"$189,891",94%
1040,P.S. 185 Walter Kassenbrock,"$20,893",629,"$610,547",90%
1041,P.S. 186 Castlewood,"$39,442",331,"$311,645",90%
1042,P.S. 186 Dr. Irving A Gladstone,"$21,573",1067,"$1,185,498",90%
1043,P.S. 188 Kingsbury,"$17,825",697,"$601,582",90%
1044,P.S. 188 Michael E. Berdy,"$28,883",336,"$356,010",90%
1045,P.S. 188 The Island School,"$29,107",390,$0,100%
1046,P.S. 189,"$26,582",664,"$753,844",90%
1047,P.S. 189 The Bilingual Center,"$20,160",1077,"$1,113,320",90%
1048,P.S. 190 Sheffield,"$25,591",201,$0,108%
1049,P.S. 191 Mayflower,"$20,763",349,"$331,050",90%
1050,P.S. 191 Paul Robeson,"$32,737",134,"$152,760",90%
1051,P.S. 192 - The Magnet School for Math and Science Inquiry,"$23,788",626,"$744,089",90%
1052,P.S. 192 Jacob H. Schiff,"$26,436",392,"$210,147",95%
1053,P.S. 193 Alfred J. Kennedy,"$20,559",506,$0,101%
1054,P.S. 193 Gil Hodges,"$24,087",706,"$754,347",90%
1055,P.S. 194 Countee Cullen,"$30,369",220,$0,100%
1056,P.S. 194 Raoul Wallenberg,"$25,386",531,"$593,143",90%
1057,P.S. 195,"$21,797",901,"$591,834",94%
1058,P.S. 195 Manhattan Beach,"$18,734",459,"$399,673",90%
1059,P.S. 195 William Haberle,"$23,230",498,"$489,434",90%
1060,P.S. 196,"$21,068",838,"$953,561",90%
1061,P.S. 196 Grand Central Parkway,"$18,449",998,"$355,806",96%
1062,P.S. 196 Ten Eyck,"$29,819",255,"$298,312",90%
1063,P.S. 197 - The Kings Highway Academy,"$22,951",676,"$555,957",92%
1064,P.S. 197 John B. Russwurm,"$32,556",277,"$323,980",90%
1065,P.S. 197 The Ocean School,"$27,792",443,$0,100%
1066,P.S. 198 Brooklyn,"$28,131",324,"$344,729",90%
1067,P.S. 198 Isador E. Ida Straus,"$24,519",389,"$406,863",90%
1068,P.S. 199 Frederick Wachtel,"$28,217",534,$0,103%
1069,P.S. 199 Jessie Isador Straus,"$21,618",797,"$362,710",95%
1070,P.S. 199 Maurice A. Fitzgerald,"$22,708",710,"$801,914",90%
1071,P.S. 199X - The Shakespeare School,"$24,331",644,"$757,149",90%
1072,P.S. 200 Benson School,"$20,305",1325,"$1,395,981",90%
1073,P.S. 200- The James McCune Smith School,"$29,457",297,"$365,879",90%
1074,P.S. 201 The Discovery School for Inquiry and Research,"$27,213",414,$0,109%
1075,P.S. 202 Ernest S. Jenkyns,"$27,238",344,"$389,606",90%
1076,P.S. 203 Floyd Bennett School,"$24,011",611,"$647,911",90%
1077,P.S. 203 Oakland Gardens,"$19,554",849,"$777,813",90%
1078,P.S. 204 Morris Heights,"$23,009",560,"$601,824",90%
1079,P.S. 204 Vince Lombardi,"$21,219",1144,"$822,844",93%
1080,P.S. 205 Alexander Graham Bell,"$23,649",285,"$118,303",95%
1081,P.S. 205 Clarion,"$23,466",1204,"$1,252,521",90%
1082,P.S. 205 Fiorello Laguardia,"$22,442",1004,"$1,103,647",90%
1083,P.S. 206 Jose Celso Barbosa,"$38,199",478,"$584,961",90%
1084,P.S. 206 Joseph F Lamb,"$20,144",1485,"$1,532,823",90%
1085,P.S. 206 The Horace Harding School,"$21,857",583,"$604,344",90%
1086,P.S. 207,"$26,981",287,"$319,116",90%
1087,P.S. 207 Elizabeth G. Leary,"$21,367",1187,"$1,235,372",90%
1088,P.S. 207 Rockwood Park,"$27,211",588,"$70,567",99%
1089,P.S. 208 Elsa Ebeling,"$27,908",303,"$339,851",90%
1090,P.S. 209,"$26,060",206,"$260,391",90%
1091,P.S. 209 Clearview Gardens,"$20,660",579,"$425,737",92%
1092,P.S. 209 Margaret Mead,"$24,931",685,"$816,565",90%
1093,P.S. 21 Margaret Emery-Elm Park,"$30,121",356,"$469,487",90%
1094,P.S. 211,"$23,888",572,$0,100%
1095,P.S. 212,"$27,297",228,"$222,848",90%
1096,P.S. 212,"$27,297",228,"$222,848",90%
1097,P.S. 212 Lady Deborah Moody,"$25,120",647,"$334,833",95%
1098,P.S. 212 Midtown West,"$18,840",317,"$261,466",90%
1099,P.S. 213 New Lots,"$25,718",212,"$216,870",90%
1100,P.S. 213 The Carl Ullman School,"$23,081",388,$0,101%
1101,P.S. 214,"$21,698",945,"$747,452",93%
1102,P.S. 214 Cadwallader Colden,"$22,627",422,"$325,723",93%
1103,P.S. 214 Michael Friedsam,"$22,189",807,"$841,402",90%
1104,P.S. 215 Morris H. Weiss,"$21,938",817,"$523,408",94%
1105,P.S. 216 Arturo Toscanini,"$23,219",659,"$667,831",90%
1106,P.S. 217 Colonel David Marcus School,"$21,887",1101,"$1,183,940",90%
1107,P.S. 219 Kennedy-King,"$25,895",431,"$453,681",90%
1108,P.S. 219 Paul Klapper,"$33,535",585,"$618,443",90%
1109,P.S. 220 Edward Mandel,"$21,408",678,"$677,688",90%
1110,P.S. 221 The North Hills School,"$20,324",612,"$569,488",90%
1111,P.S. 221 Toussaint L'Ouverture,"$29,656",231,"$162,267",93%
1112,P.S. 222 Katherine R. Snyder,"$26,033",900,"$911,174",90%
1113,P.S. 223 Lyndon B. Johnson,"$24,805",527,"$40,041",99%
1114,P.S. 224 Hale A. Woodruff,"$25,409",370,"$384,437",90%
1115,P.S. 226,"$23,284",444,"$484,883",90%
1116,P.S. 226 Alfred De B.Mason,"$23,197",997,"$1,107,944",90%
1117,P.S. 228 Early Childhood Magnet School of the Arts,"$27,265",265,"$335,606",90%
1118,P.S. 229 Dyker,"$19,203",1209,"$767,116",94%
1119,P.S. 229 Emanuel Kaplan,"$20,727",1443,"$1,452,996",90%
1120,P.S. 230 Doris L. Cohen,"$22,308",1096,"$1,222,486",90%
1121,P.S. 232 Lindenwood,"$20,723",899,$0,101%
1122,P.S. 233 Langston Hughes,"$25,711",387,"$399,835",90%
1123,P.S. 234,"$24,704",449,"$479,175",90%
1124,P.S. 234 Independence School,"$19,559",617,"$573,762",90%
1125,P.S. 235 Janice Marie Knight School,"$19,118",1252,"$695,263",94%
1126,P.S. 236 Langston Hughes,"$28,547",297,"$366,343",90%
1127,P.S. 236 Mill Basin,"$22,252",504,"$445,081",91%
1128,P.S. 238 Anne Sullivan,"$26,550",552,$0,100%
1129,P.S. 239,"$24,867",490,"$589,297",90%
1130,P.S. 241 Emma L. Johnston,"$23,334",448,"$416,579",90%
1131,P.S. 242 - The Young Diplomats Magnet Academy,"$34,862",125,"$160,898",90%
1132,P.S. 242 Leonard P. Stavisky Early Childhood School,"$24,432",363,$0,120%
1133,P.S. 243K- The Weeksville School,"$31,820",181,$0,102%
1134,P.S. 244 Richard R. Green,"$36,755",373,"$398,624",90%
1135,P.S. 245,"$25,562",291,"$318,986",90%
1136,P.S. 246 Poe Center,"$23,838",701,"$832,031",90%
1137,P.S. 247 Brooklyn,"$22,361",857,"$982,296",90%
1138,P.S. 249 The Caton,"$21,372",810,"$832,414",90%
1139,P.S. 250 George H. Lindsay,"$24,404",385,"$385,950",90%
1140,P.S. 251 Paerdegat,"$26,040",433,"$446,738",90%
1141,P.S. 251 Queens,"$24,516",282,$0,107%
1142,P.S. 253,"$25,288",479,"$584,289",90%
1143,P.S. 253,"$25,288",479,"$584,289",90%
1144,P.S. 254 - The Rosa Parks School,"$21,682",589,"$598,253",90%
1145,P.S. 254 Dag Hammarskjold,"$20,735",734,"$748,199",90%
1146,P.S. 255 Barbara Reing School,"$25,051",887,"$914,614",90%
1147,P.S. 256 Benjamin Banneker,"$28,427",198,"$217,447",90%
1148,P.S. 257 John F. Hylan,"$26,319",628,"$728,450",90%
1149,P.S. 261 Philip Livingston,"$20,184",768,"$767,105",90%
1150,P.S. 262 El Hajj Malik El Shabazz Elementary School,"$33,233",127,"$128,348",90%
1151,P.S. 264 Bay Ridge Elementary School for the Arts,"$24,312",453,$0,101%
1152,P.S. 268 Emma Lazarus,"$23,776",317,"$329,424",90%
1153,P.S. 270 Johann Dekalb,"$39,693",88,"$92,005",90%
1154,P.S. 272 Curtis Estabrook,"$30,992",380,$0,100%
1155,P.S. 273,"$24,606",274,$0,101%
1156,P.S. 273 Wortman,"$24,633",328,"$327,158",90%
1157,P.S. 274 Kosciusko,"$26,516",349,"$394,653",90%
1158,P.S. 276 Louis Marshall,"$24,645",544,"$568,479",90%
1159,P.S. 277,"$23,369",420,"$471,439",90%
1160,P.S. 277 Gerritsen Beach,"$24,840",377,"$393,544",90%
1161,"P.S. 279 Captain Manuel Rivera, Jr.","$22,592",1012,"$1,223,578",90%
1162,P.S. 279 Herman Schreiber,"$23,968",371,"$222,862",94%
1163,P.S. 28 - The Thomas Emanuel Early Childhood Center,"$25,893",460,"$577,823",90%
1164,P.S. 280,"$20,894",652,"$16,605",100%
1165,P.S. 282 Park Slope,"$23,923",536,"$172,270",97%
1166,P.S. 287 Bailey K. Ashford,"$29,019",159,"$40,025",98%
1167,P.S. 288 The Shirley Tanyhill,"$23,503",675,"$777,208",90%
1168,P.S. 289 George V. Brower,"$30,009",351,"$382,817",90%
1169,P.S. 290 Juan Morel Campos,"$23,713",519,"$589,607",90%
1170,P.S. 290 Manhattan New School,"$19,839",583,"$537,205",90%
1171,P.S. 291,"$21,911",621,"$665,190",90%
1172,P.S. 295,"$28,860",392,"$486,815",90%
1173,P.S. 297 Abraham Stockton,"$32,305",183,"$190,705",90%
1174,P.S. 298 Dr. Betty Shabazz,"$30,145",208,$0,100%
1175,P.S. 299 Thomas Warren Field,"$27,907",212,"$229,136",90%
1176,P.S. 3 Raul Julia Micro Society,"$25,843",305,$0,107%
1177,P.S. 304 Early Childhood School,"$23,516",470,"$438,581",91%
1178,P.S. 305 Dr. Peter Ray,"$32,277",132,"$146,916",90%
1179,P.S. 306,"$24,552",654,"$714,463",90%
1180,P.S. 306 Ethan Allen,"$33,875",258,$0,100%
1181,P.S. 307 Daniel Hale Williams,"$32,376",334,"$252,885",93%
1182,P.S. 308 Clara Cardwell,"$37,840",200,$0,100%
1183,P.S. 309 The George E. Wibecan Preparatory Academy,"$29,887",199,$0,106%
1184,P.S. 310 Marble Hill,"$22,694",633,"$669,260",90%
1185,P.S. 312 Bergen Beach,"$23,432",678,"$146,802",98%
1186,P.S. 315 Lab School,"$24,279",223,"$237,971",90%
1187,P.S. 316 Elijah Stroud,"$26,094",557,$0,104%
1188,P.S. 319,"$27,418",81,"$93,312",90%
1189,P.S. 321 William Penn,"$18,743",1460,"$1,308,465",90%
1190,P.S. 326,"$29,995",157,"$169,620",90%
1191,P.S. 327 Dr. Rose B. English,"$29,008",268,"$301,435",90%
1192,P.S. 328 Phyllis Wheatley,"$33,508",265,$0,100%
1193,P.S. 329 Surfside,"$25,727",368,"$404,777",90%
1194,P.S. 330,"$23,377",582,"$75,511",99%
1195,P.S. 333 Manhattan School for Children,"$21,252",758,"$734,560",90%
1196,P.S. 335 Granville T. Woods,"$30,769",207,$0,100%
1197,P.S. 340,"$24,963",611,"$711,575",90%
1198,P.S. 345 Patrolman Robert Bolden,"$26,097",465,"$478,648",90%
1199,P.S. 346 Abe Stark,"$27,750",496,"$494,424",90%
1200,P.S. 35 The Clove Valley School,"$21,267",398,"$256,074",93%
1201,P.S. 36,"$95,286",326,N/A,
1202,P.S. 360,"$23,809",437,"$484,750",90%
1203,P.S. 360,"$23,809",437,"$484,750",90%
1204,P.S. 361 East Flatbush Early Childhood School,"$25,833",619,"$255,952",94%
1205,P.S. 368,"$86,073",240,N/A,
1206,P.S. 370,"$79,099",267,N/A,
1207,P.S. 371 - Lillian L. Rashkis,"$69,779",239,N/A,
1208,P.S. 372 -The Children's School,"$75,148",217,N/A,
1209,P.S. 373 - Brooklyn Transition Center,"$54,712",456,N/A,
1210,P.S. 375 Jackie Robinson School,"$31,087",297,"$334,041",90%
1211,P.S. 376,"$21,999",118,$2,100%
1212,P.S. 376,"$21,999",118,$2,100%
1213,P.S. 377,"$38,261",92,$0,100%
1214,P.S. 377 Alejandrina B. De Gautier,"$36,962",144,"$155,025",90%
1215,P.S. 38 Roberto Clemente,"$27,992",205,"$103,769",96%
1216,P.S. 380 John Wayne Elementary,"$29,773",503,"$599,749",90%
1217,P.S. 384,"$26,139",75,$0,100%
1218,P.S. 39 Francis J. Murphy Jr.,"$21,792",548,"$583,080",90%
1219,P.S. 396,"$44,675",272,$0,111%
1220,P.S. 397 Foster-Laurie,"$29,309",170,"$126,795",93%
1221,P.S. 398 Walter Weaver,"$33,602",240,"$234,406",92%
1222,P.S. 399 Stanley Eugene Clark,"$22,197",331,"$339,308",90%
1223,P.S. 452,"$25,475",240,$0,101%
1224,P.S. 5 Port Morris,"$24,926",681,"$774,023",90%
1225,P.S. 503: The School of Discovery,"$25,324",1020,"$1,272,214",90%
1226,P.S. 506: The School of Journalism & Technology,"$23,297",770,"$880,147",90%
1227,P.S. 527 - East Side School for Social Action,"$19,893",427,$0,100%
1228,P.S. 536,"$21,509",395,"$77,863",98%
1229,P.S. 56 The Louis Desario School,"$27,117",511,"$284,938",95%
1230,P.S. 58 - The School of Heroes,"$20,964",975,"$1,034,066",90%
1231,P.S. 583,"$20,665",130,$1,100%
1232,P.S. 595,"$26,364",225,$0,100%
1233,P.S. 6 Corporal Allan F. Kivlehan School,"$33,048",474,"$504,419",90%
1234,P.S. 65 - The Raymond York Elementary School,"$23,141",452,"$486,439",90%
1235,P.S. 65 The Academy of Innovative Learning,"$25,766",381,"$401,823",90%
1236,P.S. 66,"$19,797",774,"$445,468",94%
1237,P.S. 69 Vincent D. Grippo School,"$22,354",739,"$806,497",90%
1238,P.S. 723,"$76,949",449,N/A,
1239,P.S. 74 Future Leaders Elementary School,"$27,823",304,$0,101%
1240,P.S. 748 Brooklyn School for Global Scholars,"$21,841",529,$0,100%
1241,P.S. 75 School of Research and Discovery,"$24,569",546,"$602,849",90%
1242,P.S. 77 Lower Lab School,"$17,681",357,"$279,773",90%
1243,P.S. 770 New American Academy,"$20,703",275,$0,100%
1244,P.S. 78,"$27,052",787,$0,100%
1245,P.S. 8 Shirlee Solomon,"$23,236",564,$0,101%
1246,P.S. 81Q Jean Paul Richter,"$27,296",576,"$684,457",90%
1247,P.S. 889,"$21,230",96,$1,100%
1248,P.S. 89,"$21,073",418,"$394,843",90%
1249,P.S. 896,"$23,063",100,$0,100%
1250,P.S. 9 Ryer Avenue Elementary School,"$23,459",755,"$857,942",90%
1251,P.S. 90 Edna Cohen School,"$25,157",598,"$541,293",92%
1252,P.S. 97 The Highlawn,"$22,830",789,"$468,627",95%
1253,P.S. K004,"$101,960",270,N/A,
1254,P.S. K053,"$73,961",479,N/A,
1255,P.S. K077,"$87,841",286,N/A,
1256,P.S. K134,"$21,879",554,"$592,140",90%
1257,P.S. K140,"$83,027",338,N/A,
1258,P.S. K141,"$87,027",326,N/A,
1259,P.S. K225 - The Eileen E. Zaglin,"$25,297",931,"$1,152,933",90%
1260,P.S. K231,"$89,869",356,N/A,
1261,P.S. K315,"$24,368",648,"$728,314",90%
1262,P.S. K369 - Coy L. Cox School,"$64,078",648,N/A,
1263,P.S. K396,"$104,578",362,N/A,
1264,P.S. K721 - Brooklyn Occupational Training Center,"$67,781",457,N/A,
1265,P.S. K753 - School for Career Development,"$72,942",238,N/A,
1266,P.S. K771,"$93,372",455,N/A,
1267,P.S. K811 Connie Lekas School,"$75,539",339,N/A,
1268,P.S. M079 - Horan School,"$86,966",225,N/A,
1269,P.S. M094,"$85,480",417,N/A,
1270,P.S. M169 - Robert F. Kennedy,"$64,792",397,N/A,
1271,P.S. M226,"$85,686",249,N/A,
1272,P.S. M721 - Manhattan Occupational Training Center,"$87,650",179,N/A,
1273,P.S. M811 - Mickey Mantle School,"$80,829",352,N/A,
1274,P.S. Q004,"$88,296",350,N/A,
1275,P.S. Q016 The Nancy Debenedittis School,"$22,084",1465,"$1,771,369",90%
1276,P.S. Q023 @ Queens Children Center,"$67,594",286,N/A,
1277,P.S. Q086,"$21,895",838,"$938,795",90%
1278,P.S. Q177,"$75,794",511,N/A,
1279,P.S. Q222 - Fire Fighter Christopher A. Santora School,"$23,177",248,$0,103%
1280,P.S. Q224,"$85,569",339,N/A,
1281,P.S. Q233,"$69,201",558,N/A,
1282,P.S. Q255,"$93,431",409,N/A,
1283,P.S. Q256,"$86,481",494,N/A,
1284,P.S. Q811,"$86,488",412,N/A,
1285,P.S. Q993,"$85,802",571,N/A,
1286,P.S. R037,"$103,868",368,N/A,
1287,P.S. R373,"$89,921",521,N/A,
1288,P.S. X010,"$83,354",544,N/A,
1289,P.S. X012 Lewis and Clark School,"$55,356",336,N/A,
1290,P.S. X014 Senator John Calandra,"$21,444",561,"$410,537",93%
1291,P.S. X015 Institute for Environmental Learning,"$22,955",469,"$498,938",90%
1292,P.S. X017,"$80,714",435,N/A,
1293,P.S. X037 - Multiple Intelligence School,"$24,492",612,"$213,131",97%
1294,P.S. X088 - S. Silverstein Little Sparrow School,"$28,045",133,"$142,086",90%
1295,P.S. X114 - Luis Llorens Torres Schools,"$25,093",705,"$819,909",90%
1296,P.S. X140 The Eagle School,"$23,083",603,"$654,881",90%
1297,P.S. X176,"$81,652",535,N/A,
1298,P.S. X188,"$78,098",421,N/A,
1299,P.S. X596,"$83,665",403,N/A,
1300,P.S. X721 - Stephen McSweeney School,"$66,407",509,N/A,
1301,P.S. X811,"$73,978",630,N/A,
1302,P.S./ I.S. 155 Nicholas Herkimer,"$26,357",365,"$418,756",90%
1303,P.S./ IS 178 Holliswood,"$19,688",525,"$388,035",92%
1304,P.S./I.S. 045 Horace E. Greene,"$23,086",593,"$636,252",90%
1305,P.S./I.S. 087 Middle Village,"$24,728",561,"$636,969",90%
1306,P.S./I.S. 104 The Fort Hamilton School,"$19,723",1207,"$1,133,919",91%
1307,P.S./I.S. 113 Anthony J. Pranzo,"$19,779",871,"$871,208",90%
1308,P.S./I.S. 116 William C. Hughley,"$22,064",758,"$853,076",90%
1309,P.S./I.S. 137 Rachel Jean Mitchell,"$28,402",267,$0,104%
1310,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,"$25,913",424,"$360,826",93%
1311,P.S./I.S. 187 Hudson Cliffs,"$19,606",765,"$758,382",90%
1312,P.S./I.S. 208,"$20,689",691,"$718,914",90%
1313,P.S./I.S. 210 - Twenty-First Century Academy for Community Leadership,"$25,099",387,"$503,212",90%
1314,P.S./I.S. 217 Roosevelt Island,"$20,401",587,"$176,071",97%
1315,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,"$21,514",1033,"$1,160,604",90%
1316,P.S./I.S. 224,"$27,585",336,"$470,255",90%
1317,P.S./I.S. 266,"$22,836",622,"$498,580",92%
1318,P.S./I.S. 268,"$20,515",633,"$465,537",93%
1319,P.S./I.S. 295,"$23,868",453,"$140,376",97%
1320,P.S./I.S. 30 Mary White Ovington,"$21,553",1025,"$345,414",97%
1321,P.S./I.S. 323,"$22,207",531,"$536,374",90%
1322,P.S./I.S. 54,"$24,768",419,"$450,395",90%
1323,P.S./I.S. 78Q,"$18,519",686,$0,105%
1324,P.S./M.S 042 R. Vernam,"$27,256",627,$0,100%
1325,P.S./M.S. 004 Crotona Park West,"$24,901",517,$0,108%
1326,P.S./M.S. 029 Melrose School,"$23,555",736,"$833,552",90%
1327,P.S./M.S. 031 The William Lloyd Garrison,"$24,749",637,"$755,686",90%
1328,P.S./M.S. 114 Belle Harbor,"$22,423",629,"$150,186",98%
1329,P.S./M.S. 11X498 - Van Nest Academy,"$23,049",592,"$44,658",99%
1330,P.S./M.S. 138 Sunrise,"$21,951",677,"$710,285",90%
1331,P.S./M.S. 147 Ronald McNair,"$24,210",522,"$543,400",90%
1332,P.S./M.S. 194,"$21,171",1320,"$1,414,235",90%
1333,"P.S./M.S. 20 P.O.George J. Werdann, III","$23,411",1041,"$1,238,598",90%
1334,P.S./M.S. 200 - The Pomonok School & STAR Academy,"$25,060",485,"$172,043",97%
1335,P.S./M.S. 280 Mosholu Parkway,"$22,355",856,"$997,000",90%
1336,P186X Walter J. Damrosch School,"$85,837",627,N/A,
1337,P469X - The Bronx School for Continuous Learners,"$52,524",464,N/A,
1338,Pace High School,"$20,240",565,"$239,563",96%
1339,Pan American International High School,"$24,656",423,$0,100%
1340,Pan American International High School at Monroe,"$22,722",456,"$611,538",90%
1341,Park East High School,"$21,874",401,"$415,894",90%
1342,Park Slope Collegiate,"$21,220",681,"$674,725",91%
1343,Parkside Preparatory Academy,"$23,231",495,"$569,759",90%
1344,Passages Academy,"$96,259",223,N/A,
1345,Pathways College Preparatory School: A College Board School,"$21,154",546,"$590,322",90%
1346,47 The American Sign Language and English Secondary School,"$29,476",199,N/A,
1347,Pathways to Graduation,"$27,140",3528,N/A,
1348,Paula Hedbavny School,"$19,347",560,"$578,222",90%
1349,Pelham Academy of Academics and Community Engagement,"$23,101",333,"$69,594",98%
1350,Pelham Gardens Middle School,"$23,274",441,$0,100%
1351,Pelham Lab High School,"$23,159",487,$0,100%
1352,Pelham Preparatory Academy,"$20,387",472,"$482,339",91%
1353,Performing Arts and Technology High School,"$22,038",415,"$505,208",90%
1354,Pioneer Academy,"$22,684",929,"$641,326",94%
1355,Port Richmond High School,"$23,858",1403,$0,100%
1356,Port Richmond School for Visionary Learning,"$24,338",158,$3,100%
1357,Pre-K Center District 02,"$30,522",0,N/A,
1358,Pre-K Center District 07,"$32,296",0,N/A,
1359,Pre-K Center District 09,"$39,890",0,N/A,
1360,Pre-K Center District 10,"$33,291",0,N/A,
1361,Pre-K Center District 11,"$31,154.06",0,N/A,
1362,Pre-K Center District 13,"$31,818",0,N/A,
1363,Pre-K Center District 15,"$43,733",0,N/A,
1364,Pre-K Center District 20,"$27,140",0,N/A,
1365,Pre-K Center District 21,"$33,905",0,N/A,
