,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
1570,Urban Assembly Academy for Future Leaders,"$30,321",170,"$225,517",90%
1571,"Urban Assembly Academy of Government and Law, The","$21,666",303,"$340,966",90%
1572,Urban Assembly Gateway School for Technology,"$22,232",438,"$111,067",98%
1573,Urban Assembly Institute of Math and Science for Young Women,"$20,223",485,"$549,265",90%
1574,Urban Assembly Maker Academy,"$21,042",410,$0,100%
1575,Urban Assembly New York Harbor School,"$21,542",580,"$387,972",95%
1576,"Urban Assembly School for Applied Math and Science, The","$22,379",608,"$746,139",90%
1577,Urban Assembly School for Criminal Justice,"$20,746",555,"$558,214",91%
1578,"Urban Assembly School for Media Studies, The","$22,965",388,"$434,066",90%
1579,Urban Assembly School for Music and Art,"$25,572",188,"$232,269",90%
1580,Urban Assembly School for the Performing Arts,"$21,225",379,"$449,885",90%
1581,"Urban Assembly School of Business for Young Women, The","$22,264",200,"$220,159",90%
1582,"Urban Assembly School of Design and Construction, The","$22,840",327,"$396,308",90%
1583,Urban Institute of Mathematics,"$23,853",366,$0,100%
1584,Urban Scholars Community School,"$36,389",209,$0,100%
1585,Validus Preparatory Academy,"$23,303",359,"$470,919",90%
1586,Van Siclen Community Middle School,"$24,611",310,$0,100%
1587,Vanguard High School,"$22,414",434,"$510,927",90%
1588,Veritas Academy,"$21,371",568,$0,100%
1589,Victory Collegiate High School,"$24,229",345,"$284,144",94%
1590,Village Academy,"$21,779",405,"$281,891",94%
1591,Vista Academy,"$21,832",466,$0,100%
1592,Voyages Prep - South Queens,"$23,017",269,$4,100%
1593,Voyages Preparatory,"$22,606",205,"$257,295",90%
1594,W. H. Maxwell Career and Technical Education High School,"$32,933",346,"$478,279",90%
1595,Wadleigh Secondary School for the Performing & Visual Arts,"$34,547",278,$0,107%
1596,Walton YABC,"$12,301",195,N/A,
1597,Washington Heights Academy,"$21,270",519,"$348,480",94%
1598,Washington Heights Expeditionary Learning School,"$21,089",805,"$934,495",90%
1599,Washington Irving YABC,"$12,203",223,N/A,
1600,Waterside Children's Studio School,"$23,847",450,"$215,454",95%
1601,Waterside School for Leadership,"$23,615",231,"$266,447",91%
